Abbrev;Full_name
Surf.Inf.Inf;Surface.Infiltration.Infiltration
Surf.Inf.Inf.Reinf;Surface.Infiltration.Infiltration.Reinfiltration
Surf.Inf.Soil;Surface.Infiltration.Soil surface processes
Surf.Inf.Soil.Compac;Surface.Infiltration.Soil surface processes.Compaction
Surf.Inf.Soil.Hyphob;Surface.Infiltration.Soil surface processes.Hydrophobicity
Surf.Int.Int;Surface.Interception.Interception
Surf.Int.Int.Canopy;Surface.Interception.Interception.Canopy interception
Surf.Int.Int.Forest;Surface.Interception.Interception.Forest floor interception
Surf.Int.Stem;Surface.Interception.Stemflow
Surf.Int.Thru;Surface.Interception.Throughfall
Surf.Over;Surface.Overland Flow
Surf.Over.IE;Surface.Overland Flow.IE flow
Surf.Over.IE.Frozen;Surface.Overland Flow.IE flow.IE flow from frozen ground
Surf.Over.IE.Imp;Surface.Overland Flow.IE flow.IE flow from\nimpermeable areas
Surf.Over.IE.Part;Surface.Overland Flow.IE flow.Partial area IE flow
Surf.Over.Rill;Surface.Overland Flow.Rill flow
Surf.Over.SE;Surface.Overland Flow.Saturation excess flow
Surf.Over.SE.Rip;Surface.Overland Flow.Saturation excess flow.SE flow from riparian zone
Surf.Over.SE.Satexp;Surface.Overland Flow.Saturation excess flow.Expansion of saturated areas
Surf.Snow.Age.Albedo;Surface.Snow.Snowpack aging.Change in albedo
Surf.Snow.Age.Compac;Surface.Snow.Snowpack aging.Compaction
Surf.Snow.Age.Layer;Surface.Snow.Snowpack aging.Formation of layers/lenses
Surf.Snow.Canopy;Surface.Snow.Canopy snow interception
Surf.Snow.Drift;Surface.Snow.Snow drifting
Surf.Snow.Melt;Surface.Snow.Snowmelt
Surf.Snow.Melt.Basal;Surface.Snow.Snowmelt.Basal flow
Surf.Snow.Melt.Macro;Surface.Snow.Snowmelt.Macropore flow within snowpack
Surf.Snow.Melt.Ripen;Surface.Snow.Snowmelt.Ripening
Surf.Snow.Refrz;Surface.Snow.Refreezing
Surf.Snow.Stor;Surface.Snow.Snow storage
Surf.Snow.Stor.Season;Surface.Snow.Snow storage.Seasonal snow storage
Surf.Snow.Subl;Surface.Snow.Sublimation
Surf.Snow.Subl.Blow;Surface.Snow.Sublimation.Sublimation during blowing snow events
Surf.Snow.Subl.Canopy;Surface.Snow.Sublimation.Canopy sublimation
Surf.Water;Surface.Surface water\nstorage
Surf.Water.Depr;Surface.Surface water storage.Depression storage
Surf.Water.Lake;Surface.Surface water.Lake storage
