Try_nb;Model;Watershed;sim_index;Comment
1;m_37_hbv_15p_5s;3574500;0.5;WTS_nb_1-WTS_nb_66
2;m_07_gr4j_4p_2s;2053200;0.6;WTS_nb_31-WTS_nb_45
